Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 06 03 01 01 0C 04 00 58 DF
1.178153875,'1' (0x01),,
1.1784143125,'164' (0xA4),,
1.17867475,'128' (0x80),,
1.1789351875,'3' (0x03),,
1.179195625,'0' (0x00),,
1.179456125,'8' (0x08),,
1.1797165625,'2' (0x02),,
1.179977,'0' (0x00),,
1.1802374375,'6' (0x06),,
1.180497875,'3' (0x03),,
1.1807583125,'1' (0x01),,
1.18101875,'1' (0x01),,
1.1812791875,'12' (0x0C),,
1.181539625,'4' (0x04),,
1.1818000625,'0' (0x00),,
1.1820605,X (0x58),,
1.1823209375,'223' (0xDF),,

RX1
1.193369625,'1' (0x01),,
1.193656125,'164' (0xA4),,
1.1939428125,'128' (0x80),,
1.1942295625,'0' (0x00),,
1.19451625,'3' (0x03),,
1.194803,'8' (0x08),,
1.1950896875,'2' (0x02),,
1.195376375,'29' (0x1D),,
1.195663125,'6' (0x06),,
1.1959498125,'3' (0x03),,
1.1962365625,'1' (0x01),,
1.19652325,'1' (0x01),,
1.19681,'12' (0x0C),,
1.1970966875,'4' (0x04),,
1.1973834375,'0' (0x00),,
1.197670125,'141' (0x8D),,
1.197956875,'20' (0x14),,
*************************************************************************



TX2
01 A4 80 03 00 08 02 00 04 03 FF 00 39 1F 00 4E CE
1.3780945625,'1' (0x01),,
1.378355,'164' (0xA4),,
1.3786154375,'128' (0x80),,
1.378875875,'3' (0x03),,
1.3791363125,'0' (0x00),,
1.37939675,'8' (0x08),,
1.3796571875,'2' (0x02),,
1.379917625,'0' (0x00),,
1.380178125,'4' (0x04),,
1.3804385625,'3' (0x03),,
1.380699,'255' (0xFF),,
1.3809594375,'0' (0x00),,
1.381219875,9 (0x39),,
1.3814803125,'31' (0x1F),,
1.38174075,'0' (0x00),,
1.3820011875,N (0x4E),,
1.382261625,'206' (0xCE),,

RX2
01 A4 80 00 03 2C 02 03 04 03 FF 00 39 1F 24 4D 61 69 6E 73 56 6F 6C 74 20 25 31 20 20 20 20 01 D3 00 01 56 6F 6C 74 20 41 43 20 20 20 20 20 20 20 20 00 F4 31
1.410075625,'1' (0x01),,
1.4103621875,'164' (0xA4),,
1.410648875,'128' (0x80),,
1.410935625,'0' (0x00),,
1.4112223125,'3' (0x03),,
1.4115090625,, (0x2C),,
1.41179575,'2' (0x02),,
1.4120824375,'3' (0x03),,
1.4123691875,'4' (0x04),,
1.412655875,'3' (0x03),,
1.412942625,'255' (0xFF),,
1.413229375,'0' (0x00),,
1.4135160625,9 (0x39),,
1.41380275,'31' (0x1F),,
1.4140895,$ (0x24),,
1.4143761875,M (0x4D),,
1.4146629375,a (0x61),,
1.414949625,i (0x69),,
1.415236375,n (0x6E),,
1.4155230625,s (0x73),,
1.4158098125,V (0x56),,
1.4160965,o (0x6F),,
1.41638325,l (0x6C),,
1.4166699375,t (0x74),,
1.4169566875,' ' (0x20),,
1.417243375,% (0x25),,
1.4175300625,1 (0x31),,
1.4178168125,' ' (0x20),,
1.4181035,' ' (0x20),,
1.41839025,' ' (0x20),,
1.4186769375,' ' (0x20),,
1.4189636875,'1' (0x01),,
1.419250375,'211' (0xD3),,
1.419537125,'0' (0x00),,
1.4198238125,'1' (0x01),,
1.4201105625,V (0x56),,
1.42039725,o (0x6F),,
1.420684,l (0x6C),,
1.4209706875,t (0x74),,
1.4212574375,' ' (0x20),,
1.421544125,A (0x41),,
1.421830875,C (0x43),,
1.4221175625,' ' (0x20),,
1.4224043125,' ' (0x20),,
1.422691,' ' (0x20),,
1.42297775,' ' (0x20),,
1.4232644375,' ' (0x20),,
1.423551125,' ' (0x20),,
1.423837875,' ' (0x20),,
1.4241245625,' ' (0x20),,
1.4244113125,'0' (0x00),,
1.424698,'244' (0xF4),,
1.42498475,1 (0x31),,
*************************************************************************
