Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 04 FF FF FF 01 08 00 5B 64
2.778211125,	'1' (0x01),,
2.7784715625, '164' (0xA4),,
2.778732,	  '128' (0x80),,
2.7789924375,	'3' (0x03),,
2.779252875,	'0' (0x00),,
2.7795133125,	'8' (0x08),,
2.7797738125,	'2' (0x02),,
2.78003425,		'0' (0x00),,
2.7802946875,	'4' (0x04),,
2.780555125,  '255' (0xFF),,
2.7808155625, '255' (0xFF),,
2.781076,	  '255' (0xFF),,
2.7813364375,	'1' (0x01),,
2.781596875,	'8' (0x08),,
2.7818573125,	'0' (0x00),,
2.78211775,		 [  (0x5B),,
2.7823781875,	 d  (0x64),,

RX1
01 A4 80 00 03 09 02 03 04 FF FF FF 01 08 01 03 B1 0A
2.8034126875,	'1' (0x01),,
2.8036991875, '164' (0xA4),,
2.8039859375, '128' (0x80),,
2.804272625,	'0' (0x00),,
2.8045593125,	'3' (0x03),,
2.8048460625,	\t  (0x09),,
2.80513275,		'2' (0x02),,
2.8054195,		'3' (0x03),,
2.8057061875,	'4' (0x04),,
2.8059929375, '255' (0xFF),,
2.8062796875, '255' (0xFF),,
2.806566375,  '255' (0xFF),,
2.8068530625,	'1' (0x01),,
2.80713975,		'8' (0x08),,
2.8074265,		'1' (0x01),,
2.8077131875,	'3' (0x03),,			(Number of phases)
2.8079999375, '177' (0xB1),,
2.808286625,	\n  (0x0A),,
*************************************************************************

TX2
01 A4 80 03 00 08 02 00 04 FF FF FF 4F 01 00 1C 02
3.2644016875,	'1' (0x01),,
3.264662125,  '164' (0xA4),,
3.2649225625, '128' (0x80),,
3.2651830625,	'3' (0x03),,
3.2654435,		'0' (0x00),,
3.2657039375,	'8' (0x08),,
3.265964375,	'2' (0x02),,
3.2662248125,	'0' (0x00),,
3.26648525,		'4' (0x04),,
3.2667456875, '255' (0xFF),,
3.267006125,  '255' (0xFF),,
3.2672665625, '255' (0xFF),,
3.267527,		 O  (0x4F),,
3.2677874375,	'1' (0x01),,
3.268047875,	'0' (0x00),,
3.2683083125,  '28' (0x1C),,
3.26856875,	  	'2' (0x02),,

RX2
3.3154878125,	'1' (0x01),,
3.3157743125, '164' (0xA4),,
3.316061,	  '128' (0x80),,
3.31634775,		'0' (0x00),,
3.3166344375,	'3' (0x03),,
3.3169211875,  '12' (0x0C),,
3.317207875,	'2' (0x02),,
3.3174945625,	'3' (0x03),,
3.3177813125,	'4' (0x04),,
3.318068,	  '255' (0xFF),,
3.3183548125, '255' (0xFF),,
3.3186415,	  '255' (0xFF),,
3.3189281875,	 O  (0x4F),,
3.319214875,	'1' (0x01),,
3.319501625,	'4' (0x04),,
3.3197883125,	 -  (0x2D),,
3.3200750625,	'0' (0x00),,
3.32036175,		'0' (0x00),,
3.3206484375,	'0' (0x00),,
3.3209351875, '226' (0xE2),,
3.3212219375,	 :  (0x3A),,
*************************************************************************

TX3
01 A4 80 03 00 08 02 00 04 FF FF FF 01 14 00 9B 6C
3.3342779375,'1' (0x01),,
3.334538375,'164' (0xA4),,
3.3347988125,'128' (0x80),,
3.33505925,'3' (0x03),,
3.3353196875,'0' (0x00),,
3.335580125,'8' (0x08),,
3.3358405625,'2' (0x02),,
3.336101,'0' (0x00),,
3.3363614375,'4' (0x04),,
3.336621875,'255' (0xFF),,
3.3368823125,'255' (0xFF),,
3.33714275,'255' (0xFF),,
3.3374031875,'1' (0x01),,
3.3376636875,'20' (0x14),,
3.337924125,'0' (0x00),,
3.3381845625,'155' (0x9B),,
3.338445,l (0x6C),,

RX3
3.350675625,'1' (0x01),,
3.3509621875,'164' (0xA4),,
3.3512489375,'128' (0x80),,
3.351535625,'0' (0x00),,
3.3518223125,'3' (0x03),,
3.3521090625,'8' (0x08),,
3.35239575,'2' (0x02),,
3.3526825,'2' (0x02),,
3.3529691875,'4' (0x04),,
3.3532559375,'255' (0xFF),,
3.3535426875,'255' (0xFF),,
3.353829375,'255' (0xFF),,
3.354116125,'1' (0x01),,
3.35440275,'20' (0x14),,
3.3546895,'0' (0x00),,
3.3549761875,'2' (0x02),,
3.3552629375,'230' (0xE6),,
*************************************************************************

TX4
01 A4 80 03 00 08 02 08 04 FF FF FF 01 08 00 FD 65
3.364254625,'1' (0x01),,
3.3645150625,'164' (0xA4),,
3.3647755,'128' (0x80),,
3.365036,'3' (0x03),,
3.3652964375,'0' (0x00),,
3.365556875,'8' (0x08),,
3.3658173125,'2' (0x02),,
3.36607775,'8' (0x08),,
3.3663381875,'4' (0x04),,
3.366598625,'255' (0xFF),,
3.3668590625,'255' (0xFF),,
3.3671195,'255' (0xFF),,
3.3673799375,'1' (0x01),,
3.367640375,'8' (0x08),,
3.3679008125,'0' (0x00),,
