Time [s],Value,Parity Error,Framing Error


TX3
01 A4 80 03 00 08 02 00 05 FF FF 00 35 1F 00 B1 0A
3.179880125,	'1' (0x01),,
3.1801405625, '164' (0xA4),,
3.180401,	  '128' (0x80),,
3.1806614375,	'3' (0x03),,
3.180921875,	'0' (0x00),,
3.1811823125,	'8' (0x08),,
3.1814428125,	'2' (0x02),,
3.18170325,		'0' (0x00),,
3.1819636875,	'5' (0x05),,
3.182224125,  '255' (0xFF),,
3.1824845625, '255' (0xFF),,
3.182745,		'0' (0x00),,
3.1830054375,	 5  (0x35),,
3.183265875,   '31' (0x1F),,
3.1835263125,	'0' (0x00),,
3.18378675,	  '177' (0xB1),,
3.1840471875,	\n  (0x0A),,

RX3
01 A4 80 00 03 2C 02 03 05 FF FF 00 35 1F 24 52 65 63 74 43 6F 6D 6D 20 45 72 72 6F 72 20 20 01 00 00 01 55 6E 69 74 28 73 29 20 20 20 20 20 20 20 20 00 61 42
3.2075269375,	'1' (0x01),,
3.2078135,	  '164' (0xA4),,
3.2081001875, '128' (0x80),,
3.2083869375,	'0' (0x00),,
3.208673625,	'3' (0x03),,
3.208960375,	 ,  (0x2C),,
3.2092470625,	'2' (0x02),,
3.20953375,		'3' (0x03),,
3.2098205,		'5' (0x05),,
3.2101071875, '255' (0xFF),,
3.2103939375, '255' (0xFF),,
3.2106806875,	'0' (0x00),,
3.210967375,	 5  (0x35),,
3.2112540625,  '31' (0x1F),,
3.21154075,		 $  (0x24),,
3.2118275,		 R  (0x52),,
3.2121141875,	 e  (0x65),,
3.2124009375,	 c 	(0x63),,
3.212687625,	 t 	(0x74),,
3.212974375,	 C  (0x43),,
3.2132610625,	 o  (0x6F),,
3.2135478125,	 m 	(0x6D),,
3.2138345,		 m 	(0x6D),,
3.2141211875,	' ' (0x20),,
3.2144079375,	 E  (0x45),,
3.214694625,	 r 	(0x72),,
3.214981375,	 r 	(0x72),,
3.2152680625,	 o 	(0x6F),,
3.21555475,		 r 	(0x72),,
3.2158415,		' ' (0x20),,
3.2161281875,	' ' (0x20),,
3.2164149375,	'1' (0x01),,	(Alarm monitor:  	0x01 - no Alarm,	0x0B - Alarm minor, 	0x0A - Alarm major, 	0x04 - Off Alarm monitor)
3.216701625,	'0' (0x00),,	(LoByte "RectComm Error" Unit(s))
3.216988375,	'0' (0x00),,	(HiByte "RectComm Error" Unit(s))
3.2172750625,	'1' (0x01),,	(Alarm monitor: 	0x01 - включено, 	0x00 - выключено)
3.2175618125,	 U 	(0x55),,
3.2178485,		 n 	(0x6E),,
3.2181351875,	 i 	(0x69),,
3.2184219375,	 t 	(0x74),,
3.218708625,	 ( 	(0x28),,
3.218995375,	 s 	(0x73),,
3.2192820625,	 ) 	(0x29),,
3.21956875,		' ' (0x20),,
3.2198555,		' ' (0x20),,
3.2201421875,	' ' (0x20),,
3.2204289375,	' ' (0x20),,
3.220715625,	' ' (0x20),,
3.221002375,	' ' (0x20),,
3.2212890625,	' ' (0x20),,
3.2215758125,	' ' (0x20),,
3.2218625,		'0' (0x00),,
3.22214925,		 a 	(0x61),,
3.2224359375,	 B 	(0x42),,
*************************************************************************

TX4
