Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 06 01 01 01 0C 04 00 BA DE
1.8825844375,'1' (0x01),,
1.882844875,'164' (0xA4),,
1.8831053125,'128' (0x80),,
1.88336575,'3' (0x03),,
1.8836261875,'0' (0x00),,
1.883886625,'8' (0x08),,
1.8841470625,'2' (0x02),,
1.8844075,'0' (0x00),,
1.8846679375,'6' (0x06),,
1.884928375,'1' (0x01),,
1.885188875,'1' (0x01),,
1.8854493125,'1' (0x01),,
1.88570975,'12' (0x0C),,
1.8859701875,'4' (0x04),,
1.886230625,'0' (0x00),,
1.8864910625,'186' (0xBA),,
1.8867515,'222' (0xDE),,

RX1
1.950917625,'1' (0x01),,
1.9512040625,'164' (0xA4),,
1.9514908125,'128' (0x80),,
1.9517775625,'0' (0x00),,
1.95206425,'3' (0x03),,
1.9523509375,'12' (0x0C),,
1.9526376875,'2' (0x02),,
1.952924375,'3' (0x03),,
1.953211125,'6' (0x06),,
1.9534978125,'1' (0x01),,
1.9537845625,'1' (0x01),,
1.95407125,'1' (0x01),,
1.954358,'12' (0x0C),,
1.9546446875,'4' (0x04),,
1.9549314375,'4' (0x04),,
1.955218125,'222' (0xDE),,
1.955504875,'7' (0x07),,
1.9557915625,'2' (0x02),,
1.9560783125,'5' (0x05),,
1.956365,'183' (0xB7),,
1.95665175,'162' (0xA2),,
**********************************************************************


TX2
01 A4 80 03 00 08 02 00 05 FF FF 00 01 08 00 8F 44
2.157089375,'1' (0x01),,
2.1573498125,'164' (0xA4),,
2.15761025,'128' (0x80),,
2.1578706875,'3' (0x03),,
2.158131125,'0' (0x00),,
2.1583915625,'8' (0x08),,
2.158652,'2' (0x02),,
2.1589124375,'0' (0x00),,
2.159172875,'5' (0x05),,
2.1594333125,'255' (0xFF),,
2.15969375,'255' (0xFF),,
2.1599541875,'0' (0x00),,
2.160214625,'1' (0x01),,
2.160475125,'8' (0x08),,
2.1607355625,'0' (0x00),,
2.160996,'143' (0x8F),,
2.1612564375,D (0x44),,

RX2
01 A4 80 00 03 09 02 03 05 FF FF 00 01 08 01 03 69 DF
2.17742425,'1' (0x01),,
2.17771075,'164' (0xA4),,
2.1779975,'128' (0x80),,
2.1782841875,'0' (0x00),,
2.1785709375,'3' (0x03),,
2.178857625,\t (0x09),,
2.179144375,'2' (0x02),,
2.1794310625,'3' (0x03),,
2.17971775,'5' (0x05),,
2.1800045,'255' (0xFF),,
2.18029125,'255' (0xFF),,
2.1805779375,'0' (0x00),,
2.1808646875,'1' (0x01),,
2.181151375,'8' (0x08),,
2.1814380625,'1' (0x01),,
2.1817248125,'3' (0x03),,		(No of modules detected)
2.1820115625,i (0x69),,
2.18229825,'223' (0xDF),,
**********************************************************************


TX3
01 A4 80 03 00 08 02 00 01 FF 00 00 01 12 00 3B 1E
2.197041,'1' (0x01),,
2.1973015,'164' (0xA4),,
2.1975619375,'128' (0x80),,
2.197822375,'3' (0x03),,
2.1980828125,'0' (0x00),,
2.19834325,'8' (0x08),,
2.1986036875,'2' (0x02),,
2.198864125,'0' (0x00),,
2.1991245625,'1' (0x01),,
2.199385,'255' (0xFF),,
2.1996454375,'0' (0x00),,
2.199905875,'0' (0x00),,
2.2001663125,'1' (0x01),,
2.20042675,'18' (0x12),,
2.2006871875,'0' (0x00),,
2.200947625,; (0x3B),,
2.2012080625,'30' (0x1E),,

RX3
01 A4 80 00 03 09 02 03 01 FF 00 00 01 12 01 00 53 AB
2.219571625,'1' (0x01),,
2.2198581875,'164' (0xA4),,
2.2201449375,'128' (0x80),,
2.220431625,'0' (0x00),,
2.220718375,'3' (0x03),,
2.2210050625,\t (0x09),,
2.2212918125,'2' (0x02),,
2.2215785,'3' (0x03),,
2.22186525,'1' (0x01),,
2.2221519375,'255' (0xFF),,
2.2224386875,'0' (0x00),,
2.222725375,'0' (0x00),,
2.2230120625,'1' (0x01),,
2.2232988125,'18' (0x12),,
2.2235855,'1' (0x01),,
2.22387225,'0' (0x00),,
2.224159,S (0x53),,
2.2244456875,'171' (0xAB),,
**********************************************************************


TX4
01 A4 80 03 00 08 02 00 05 01 FF FF 0A 02 00 27 16
2.3173648125,'1' (0x01),,
2.31762525,'164' (0xA4),,
2.3178856875,'128' (0x80),,
2.318146125,'3' (0x03),,
2.3184065625,'0' (0x00),,
2.318667,'8' (0x08),,
2.3189274375,'2' (0x02),,
2.3191879375,'0' (0x00),,
2.319448375,'5' (0x05),,
2.3197088125,'1' (0x01),,
2.31996925,'255' (0xFF),,
2.3202296875,'255' (0xFF),,
2.320490125,\n (0x0A),,
2.3207505625,'2' (0x02),,
2.321011,'0' (0x00),,
2.3212714375,' (0x27),,
2.321531875,'22' (0x16),,

RX4
