Time [s],Value,Parity Error,Framing Error


TX1
01 A4 80 03 00 08 02 00 01 FF 00 00 01 18 00 9B 18
0.2630190625,'1' (0x01),,
0.2632795,'164' (0xA4),,
0.2635399375,'128' (0x80),,
0.263800375,'3' (0x03),,
0.2640608125,'0' (0x00),,
0.26432125,'8' (0x08),,
0.26458175,'2' (0x02),,
0.2648421875,'0' (0x00),,
0.265102625,'1' (0x01),,
0.2653630625,'255' (0xFF),,
0.2656235,'0' (0x00),,
0.2658839375,'0' (0x00),,
0.266144375,'1' (0x01),,
0.2664048125,'24' (0x18),,
0.26666525,'0' (0x00),,
0.2669256875,'155' (0x9B),,
0.267186125,'24' (0x18),,

RX1
01 A4 80 00 03 09 02 03 01 FF 00 00 01 18 01 03 50 CB
0.287930875,'1' (0x01),,
0.288217375,'164' (0xA4),,
0.2885040625,'128' (0x80),,
0.2887908125,'0' (0x00),,
0.2890775,'3' (0x03),,
0.2893641875,\t (0x09),,
0.2896509375,'2' (0x02),,
0.2899376875,'3' (0x03),,
0.290224375,'1' (0x01),,
0.2905110625,'255' (0xFF),,
0.2907978125,'0' (0x00),,
0.2910845,'0' (0x00),,
0.29137125,'1' (0x01),,
0.2916579375,'24' (0x18),,
0.2919446875,'1' (0x01),,
0.292231375,'3' (0x03),,
0.292518125,P (0x50),,
0.2928048125,'203' (0xCB),,
***********************************************************************


TX4
1.194122625,'1' (0x01),,
1.1943830625,'164' (0xA4),,
1.1946435,'128' (0x80),,
1.1949039375,'3' (0x03),,
1.195164375,'0' (0x00),,
1.1954248125,'8' (0x08),,
1.1956853125,'2' (0x02),,
1.19594575,'0' (0x00),,
1.1962061875,'3' (0x03),,
1.196466625,'1' (0x01),,
1.1967270625,'255' (0xFF),,
1.1969875,'255' (0xFF),,
1.1972479375,'3' (0x03),,
1.197508375,'0' (0x00),,
1.1977688125,'0' (0x00),,
1.19802925,E (0x45),,
1.1982896875,'161' (0xA1),,


RX4
1.2126455625,'1' (0x01),,
1.212932125,'164' (0xA4),,
1.213218875,'128' (0x80),,
1.213505625,'0' (0x00),,
1.2137923125,'3' (0x03),,
1.214079,'8' (0x08),,
1.21436575,'2' (0x02),,
1.2146524375,'20' (0x14),,
1.2149391875,'3' (0x03),,
1.215225875,'1' (0x01),,
1.215512625,'255' (0xFF),,
1.215799375,'255' (0xFF),,
1.2160860625,'3' (0x03),,
1.21637275,'0' (0x00),,
1.2166595,'0' (0x00),,
1.2169461875,'250' (0xFA),,
1.2172329375,'170' (0xAA),,
***********************************************************************


TX5
1.2194115,'1' (0x01),,
1.2196719375,'164' (0xA4),,
1.219932375,'128' (0x80),,
1.2201928125,'3' (0x03),,
1.22045325,'0' (0x00),,
1.2207136875,'8' (0x08),,
1.220974125,'2' (0x02),,
1.2212345625,'0' (0x00),,
1.221495,'3' (0x03),,
1.2217554375,'1' (0x01),,
1.222015875,'255' (0xFF),,
1.2222763125,'255' (0xFF),,
1.22253675,'3' (0x03),,
1.2227971875,'4' (0x04),,
1.2230576875,'0' (0x00),,
1.223318125,'133' (0x85),,
1.2235785625,'163' (0xA3),,


RX5
1.23271575,'1' (0x01),,
1.233002375,'164' (0xA4),,
