Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 01 FF 00 00 01 1A 00 FB 19
1.0072674375,	'1' (0x01),,
1.007527875,  '164' (0xA4),,
1.0077883125, '128' (0x80),,
1.00804875,		'3' (0x03),,
1.0083091875,	'0' (0x00),,
1.008569625,	'8' (0x08),,
1.0088300625,	'2' (0x02),,
1.0090905,		'0' (0x00),,
1.0093509375,	'1' (0x01),,
1.009611375,  '255' (0xFF),,
1.0098718125,	'0' (0x00),,
1.01013225,		'0' (0x00),,
1.0103926875,	'1' (0x01),,
1.0106531875,  '26' (0x1A),,
1.010913625,	'0' (0x00),,
1.0111740625, '251' (0xFB),,
1.0114345,	   '25' (0x19),,

RX1
01 A4 80 00 03 28 02 03 01 FF 00 00 01 1A 20 46 6C 61 74 50 61 63 6B 32 20 53 79 73 74 65 6D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 73 55
1.0482385,		'1' (0x01),,
1.048525,	  '164' (0xA4),,
1.0488116875, '128' (0x80),,
1.0490984375,	'0' (0x00),,
1.049385125,	'3' (0x03),,
1.049671875,	 (  (0x28),,
1.0499585625,	'2' (0x02),,
1.05024525,		'3' (0x03),,
1.050532,		'1' (0x01),,
1.0508186875, '255' (0xFF),,
1.0511054375,	'0' (0x00),,
1.051392125,	'0' (0x00),,
1.051678875,	'1' (0x01),,
1.0519655625,  '26' (0x1A),,
1.0522523125,	' ' (0x20),,
1.052539,		 F  (0x46),,	(Model)
1.05282575,		 l  (0x6C),,
1.0531124375,	 a  (0x61),,
1.053399125,	 t  (0x74),,
1.053685875,	 P  (0x50),,
1.0539725625,	 a  (0x61),,
1.0542593125,	 c  (0x63),,
1.054546,		 k  (0x6B),,
1.05483275,		 2  (0x32),,
1.0551194375,	' ' (0x20),,
1.0554061875,	 S  (0x53),,
1.055692875,	 y  (0x79),,
1.055979625,	 s  (0x73),,
1.0562663125,	 t  (0x74),,
1.0565530625,	 e  (0x65),,
1.05683975,		 m  (0x6D),,
1.0571265,		'0' (0x00),,
1.0574131875,	'0' (0x00),,
1.0576999375,	'0' (0x00),,
1.057986625,	'0' (0x00),,
1.0582733125,	'0' (0x00),,
1.0585600625,	'0' (0x00),,
1.0588468125,	'0' (0x00),,
1.0591335,		'0' (0x00),,
1.0594201875,	'0' (0x00),,
1.0597069375,	'0' (0x00),,
1.059993625,	'0' (0x00),,
1.060280375,	'0' (0x00),,
1.0605670625,	'0' (0x00),,
1.0608538125,	'0' (0x00),,
1.0611405,		'0' (0x00),,
1.06142725,		'0' (0x00),,
1.0617139375,	 s  (0x73),,
1.0620006875,	 U  (0x55),,
*************************************************************************

TX3
01 A4 80 03 00 08 02 00 01 FF 00 00 01 1B 00 6B 18
1.4121224375,	'1' (0x01),,
1.412382875,  '164' (0xA4),,
1.4126433125, '128' (0x80),,
1.41290375,		'3' (0x03),,
1.4131641875,	'0' (0x00),,
1.413424625,	'8' (0x08),,
1.4136850625,	'2' (0x02),,
1.4139455,		'0' (0x00),,
1.4142059375,	'1' (0x01),,
1.4144664375, '255' (0xFF),,
1.414726875,	'0' (0x00),,
1.4149873125,	'0' (0x00),,
1.41524775,		'1' (0x01),,
1.4155081875,  '27' (0x1B),,
1.415768625,	'0' (0x00),,
1.4160290625,    k  (0x6B),,
1.4162895,	   '24' (0x18),,

RX3
01 A4 80 00 03 28 02 03 01 FF 00 00 01 1B 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A EC
1.441822125,	'1' (0x01),,
1.4421086875, '164' (0xA4),,
1.4423954375, '128' (0x80),,
1.442682125,	'0' (0x00),,
1.4429688125,	'3' (0x03),,
1.4432555625,	 (  (0x28),,
1.44354225,		'2' (0x02),,
1.443829,		'3' (0x03),,
1.44411575,		'1' (0x01),,
1.4444024375, '255' (0xFF),,
1.4446891875,	'0' (0x00),,
1.444975875,	'0' (0x00),,
1.4452625625,	'1' (0x01),,
1.4455493125,  '27' (0x1B),,
1.445836,		' ' (0x20),,
1.44612275,		'0' (0x00),,	(Company)
1.4464094375,	'0' (0x00),,
1.4466961875,	'0' (0x00),,
1.446982875,	'0' (0x00),,
1.447269625,	'0' (0x00),,
1.4475563125,	'0' (0x00),,
1.447843,		'0' (0x00),,
1.44812975,		'0' (0x00),,
1.4484164375,	'0' (0x00),,
1.4487031875,	'0' (0x00),,
1.448989875,	'0' (0x00),,
1.449276625,	'0' (0x00),,
1.4495633125,	'0' (0x00),,
1.4498500625,	'0' (0x00),,
1.45013675,		'0' (0x00),,
1.4504235,		'0' (0x00),,
1.4507101875,	'0' (0x00),,
1.4509969375,	'0' (0x00),,
1.451283625,	'0' (0x00),,
